date,Fibras artificiales,Fibras naturales
1975,10640,13300
1980,14190,15440
1985,16340,19120
1990,18520,20930
1995,22200,21450
2000,31040,20400
2005,38200,25500
2007,44100,26500
2008,41800,25500
2009,43600,24500
2010,49600,26400
2011,52700,28300
2012,56000,27000
2013,60300,26300
2014,63300,27500
2015,66800,23100
2016,71200,23900
2017,71600,26900
2018,73400,32200
2019,80500,27700
2020,80900,27400
2021,88200,25400
